commit	score	action_ce	latency_ms	memory_gb	status	description
6a86a5a	-2.757567	1.896510	344.4	1.3	keep	baseline SmolVLM2-500M frozen backbone
7649eb9	-2.731882	1.894990	334.8	1.0	keep	layer skip 16/32 LM layers
ce47a94	-3.430920	1.816429	645.8	0.9	discard	layer skip 4/32 + batch 8 (latency regression)
c09689f	-4.374720	3.452643	368.8	1.0	discard	feature caching (overfit on 1296 cached windows)
d415b09	-2.804490	1.953368	340.5	0.7	discard	SmolVLM2-256M (worse features, same speed)
f9b154e	-2.851289	1.941116	364.1	1.0	discard	workers=4 + LR 2e-4 (workers add overhead)
e4ad46a	-1.502109	1.432463	27.9	1.0	keep	bypass HF processor (GPU resize+normalize, cached tokenization)
d39587e	-1.626505	1.552987	29.4	1.1	discard	depth 6 (fewer steps outweighs capacity)
07be5f0	-1.717797	1.615032	41.1	1.3	discard	full 32 layers (too slow, worse features not worth latency)
4338ca5	0.000000	0.000000	0.0	0.0	crash	native 256x256 (CUDA assert in inputs_merger)
832aee7	-1.546949	1.468013	31.6	1.1	discard	depth 5 + context 128 (slower, no improvement)
55c21d9	-1.532230	1.472125	24.0	0.8	discard	layer skip 8/32 (worse features outweigh speed)
87b7364	-1.519645	1.451161	27.4	1.0	discard	batch 8 LR 7e-5 (noisier gradients)
22eb1bd	-1.530919	1.320398	84.2	1.0	discard	context pooling 78→16 (action_ce better but 3x latency regression)
0f73bd7	-1.922121	1.859092	25.2	1.0	discard	LoRA r16 on 16 LM layers (2.5x slower training, only 615 steps)
9ac7e7f	-1.494067	1.430550	25.4	0.9	keep	LoRA r16 on 8 LM layers (matches 16-layer frozen, better latency)
99c4227	-1.657237	1.597911	23.7	0.9	discard	LoRA r32 q/v/o_proj 8 layers (too many params, slow convergence)
cfa09e3	-1.659746	1.600663	23.6	1.1	discard	depth 6 + LoRA r16 on 8 layers (fewer steps outweighs capacity)
d21d5a7	-1.493870	1.434669	23.7	0.9	discard	separate LoRA LR 5e-4 (no improvement over single LR)
e350da7	-1.553960	1.499151	21.9	0.9	discard	2-layer MLP context proj (worse action_ce)
4dd7720	-1.519203	1.467891	20.5	0.9	discard	batch 32 LR 2e-4 + LoRA (fewer steps, worse action_ce)
33164fd	-1.519941	1.460002	24.0	0.9	discard	multi-layer weighted sum (slower, worse convergence)
8d7a14f	-1.484302	1.430110	21.7	0.9	keep	label smoothing 0.1 (minor regularization benefit)
e8f6b42	-1.513874	1.456287	23.0	0.9	discard	dropout 0.05 + label smoothing (dropout hurts convergence)
e790a84	-1.549076	1.489158	24.0	0.9	discard	warmdown 0.40 (too much time at low LR)
468a9f3	-1.517761	1.449104	27.5	0.9	discard	warmdown 0.20 (not enough cooldown)
1720bef	-1.398934	1.339200	23.9	0.9	keep	past_action_chunk 4 (big win: shorter seq, less noise from old actions)
5159842	-1.382741	1.322143	24.2	0.9	keep	past_action_chunk 2 (continuing improvement)
ae2dcbe	-1.601283	1.539239	24.8	0.9	discard	no past actions (too little temporal info)
2165e16	-1.380687	1.320248	24.2	0.9	keep	past_action_chunk 1 (shortest with temporal info)
dda193b	-1.358606	1.302025	22.6	0.9	keep	LR 1.5e-4 (better with shorter sequence)
0960c72	-1.382864	1.323856	23.6	0.9	discard	LR 2e-4 (too high)
63056b4	-1.426566	1.370912	22.3	0.9	discard	action_chunk 8 (harder to predict further ahead)
b46ad7b	-1.367038	1.311464	22.2	0.9	discard	action_chunk 2 (fewer training signals per window)
db687a8	-1.589475	1.327211	104.9	1.0	discard	16 frozen no LoRA (latency regression, worse features)
85140ae	-1.355019	1.301706	21.3	0.9	keep	weight decay 0.005 (marginal improvement)
1aba144	-1.371360	1.312729	23.5	0.9	discard	no label smoothing (label smoothing confirmed helpful)
e0c68bc	-1.370838	1.312007	23.5	0.9	discard	final_lr_frac 0.01 (no improvement)
1c6eadb	-1.400180	1.339568	24.3	0.9	discard	adam betas (0.9, 0.95) — worse gradient smoothing
37773a1	-1.333477	1.270337	25.3	0.8	keep	8 frozen no LoRA (more steps > LoRA adaptation!)
c53e2da	-1.350182	1.282660	27.0	0.9	discard	12 frozen layers (slower, fewer steps than 8)
be1a9da	-1.472563	1.259635	85.2	0.8	discard	6 frozen layers (good action_ce but latency anomaly)
4d8170f	-1.355463	1.296791	23.5	0.9	discard	depth 5 (fewer steps outweighs capacity)
5517f1b	-1.294475	1.215122	31.7	0.9	keep	DEVICE_BATCH 8 (131 win/s, 2468 steps, huge throughput gain)
fa54547	-1.260233	1.129450	52.3	1.1	keep	DEVICE_BATCH 16 (164 win/s, 3082 steps, action_ce near CNN)
6520633	-1.547536	1.294244	101.3	1.6	discard	batch 32 LR 3e-4 (half the steps, LR too high)
a9fb31d	-1.268214	1.132630	54.2	1.1	discard	LR 2e-4 batch 16 (slightly worse than 1.5e-4)
03a83eb	-1.451333	1.120897	132.2	1.0	discard	256d/4h decoder (action_ce better but latency anomaly)
5ffdc2e	-1.268283	1.136101	52.9	1.1	discard	warmup 0.10 (no improvement)
aed9e29	-1.253015	1.120692	52.9	1.1	keep	no label smoothing (not needed with 3000+ steps)
12d9a16	-1.261317	1.119477	56.7	1.1	discard	no weight decay (latency slightly worse)
8715dc4	-1.256857	1.114839	56.8	1.1	discard	grad clip 0.5 (better action_ce but latency noise)
9faa2f6	-1.453500	1.199084	101.8	1.6	discard	2 history frames (2x backbone cost, half throughput)
3f97a8e	-1.270142	1.121848	59.3	1.1	discard	MLP_RATIO 2 (no throughput gain, backbone is bottleneck)
3c9cb4c	-1.256250	1.118435	55.1	1.0	discard	384d/6h (marginal, backbone is bottleneck)
b0114eb	-1.261898	1.121445	56.2	1.1	discard	torch.compile decoder (compilation overhead > gains)
cab05c6	-1.264810	1.131465	53.3	1.1	discard	4 backbone layers (worse features, no speed gain)
daa577c	-1.678579	1.627198	20.6	1.1	discard	eval batch 1 (broken collate or shapes)
8d41e01	-1.165189	1.101287	25.6	1.1	keep	separate eval batch_size=4 (train 16, eval 4 for lower latency)
fdf09e9	-1.149304	1.101915	19.0	1.1	keep	eval batch_size=1 (minimize latency penalty)
04cb975	-1.164775	1.112445	20.9	1.1	discard	eval batch_size=2 (batch 1 is better)
75e1c1b	0.000000	0.000000	0.0	0.0	crash	384x384 backbone (patch merger incompatible)
5870340	-1.109215	1.087899	8.5	1.0	keep	vision-only backbone (SigLIP + connector, skip LM layers)
8a48a7b	-1.233355	1.211312	8.8	1.4	discard	batch 32 LR 2e-4 (fewer steps, worse action_ce)
e8a8338	-1.101290	1.078386	9.2	1.1	keep	depth 6 decoder (vision-only + deeper model)
cf72221	-1.106211	1.080104	10.4	1.2	discard	depth 8 decoder (extra latency outweighs capacity)
14ca5b6	-1.116495	1.094817	8.7	1.0	discard	8/12 SigLIP layers (worse features outweigh speed)
