
Fetching 13 files:   0%|          | 0/13 [00:00<?, ?it/s]
Fetching 13 files: 100%|██████████| 13/13 [00:00<00:00, 4009.85it/s]

Fetching 100 files:   0%|          | 0/100 [00:00<?, ?it/s]
Fetching 100 files:  86%|████████▌ | 86/100 [00:00<00:00, 852.73it/s]
Fetching 100 files: 100%|██████████| 100/100 [00:00<00:00, 868.12it/s]
/home/ayush/side-projects/autoresearch/.venv/lib/python3.10/site-packages/torchvision/io/_video_deprecation_warning.py:9: UserWarning: The video decoding and encoding capabilities of torchvision are deprecated from version 0.22 and will be removed in version 0.24. We recommend that you migrate to TorchCodec, where we'll consolidate the future decoding/encoding capabilities of PyTorch: https://github.com/pytorch/torchcodec
  warnings.warn(
Model config: {'max_seq_len': 1024, 'smolvlm_model_id': 'HuggingFaceTB/SmolVLM2-500M-Video-Instruct', 'backbone_dtype': 'bfloat16', 'backbone_hidden_size': 960, 'max_context_tokens': 512, 'frame_mean': (0.437234491109848, 0.4635244309902191, 0.3869882822036743), 'frame_std': (0.03531140089035034, 0.02929818257689476, 0.06434917449951172), 'action_vocab_size': 1797, 'history_frames': 1, 'use_state': True, 'state_dim': 6, 'use_past_actions': True, 'past_action_token_count': 7, 'action_dim': 7, 'action_chunk_size': 4, 'waypoint_dim': 0, 'n_layer': 6, 'n_head': 8, 'n_embd': 512, 'mlp_ratio': 4.0, 'dropout': 0.0}
Train windows: 56,471
Val windows:   6,131
Device: cuda
Time budget: 300s
Gradient accumulation steps: 1
Caching backbone features...
Cached 56464 windows in 264.3s (6.9 GB)

step 00000 (0.0%) | loss: 7.8991 | action_ce: 7.8991 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 184ms | win/sec: 86.9 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 7.8454 | action_ce: 7.8454 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 23ms | win/sec: 688.3 | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.8777 | action_ce: 7.8777 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 17ms | win/sec: 946.7 | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.9076 | action_ce: 7.9076 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 17ms | win/sec: 914.5 | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.9136 | action_ce: 7.9136 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 15ms | win/sec: 1050.1 | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.9291 | action_ce: 7.9291 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 11ms | win/sec: 1397.1 | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.9302 | action_ce: 7.9302 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 18ms | win/sec: 892.4 | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.9481 | action_ce: 7.9481 | waypoint: 0.0000 | lr_mult: 0.00 | dt: 20ms | win/sec: 796.2 | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.9465 | action_ce: 7.9465 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 20ms | win/sec: 786.1 | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.9441 | action_ce: 7.9441 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 16ms | win/sec: 1007.0 | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.9455 | action_ce: 7.9455 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 20ms | win/sec: 809.9 | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.9413 | action_ce: 7.9413 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 15ms | win/sec: 1069.7 | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.9436 | action_ce: 7.9436 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 11ms | win/sec: 1420.0 | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 7.9299 | action_ce: 7.9299 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 12ms | win/sec: 1289.6 | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 7.9069 | action_ce: 7.9069 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 11ms | win/sec: 1434.2 | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 7.8992 | action_ce: 7.8992 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 11ms | win/sec: 1420.0 | epoch: 1 | remaining: 300s    
step 00016 (0.1%) | loss: 7.8923 | action_ce: 7.8923 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 14ms | win/sec: 1142.1 | epoch: 1 | remaining: 300s    
step 00017 (0.1%) | loss: 7.8646 | action_ce: 7.8646 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 11ms | win/sec: 1451.6 | epoch: 1 | remaining: 300s    
step 00018 (0.1%) | loss: 7.8421 | action_ce: 7.8421 | waypoint: 0.0000 | lr_mult: 0.01 | dt: 15ms | win/sec: 1054.5 | epoch: 1 | remaining: 300s    
step 00019 (0.1%) | loss: 7.8358 | action_ce: 7.8358 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 21ms | win/sec: 776.4 | epoch: 1 | remaining: 300s    
step 00020 (0.1%) | loss: 7.8248 | action_ce: 7.8248 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 14ms | win/sec: 1157.1 | epoch: 1 | remaining: 300s    
step 00021 (0.1%) | loss: 7.8185 | action_ce: 7.8185 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 12ms | win/sec: 1377.5 | epoch: 1 | remaining: 300s    
step 00022 (0.1%) | loss: 7.8118 | action_ce: 7.8118 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 13ms | win/sec: 1224.5 | epoch: 1 | remaining: 300s    
step 00023 (0.1%) | loss: 7.7972 | action_ce: 7.7972 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 14ms | win/sec: 1140.5 | epoch: 1 | remaining: 300s    
step 00024 (0.1%) | loss: 7.7756 | action_ce: 7.7756 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 10ms | win/sec: 1645.3 | epoch: 1 | remaining: 300s    
step 00025 (0.1%) | loss: 7.7339 | action_ce: 7.7339 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 12ms | win/sec: 1310.8 | epoch: 1 | remaining: 300s    
step 00026 (0.1%) | loss: 7.6930 | action_ce: 7.6930 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 13ms | win/sec: 1243.2 | epoch: 1 | remaining: 300s    
step 00027 (0.1%) | loss: 7.6672 | action_ce: 7.6672 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 11ms | win/sec: 1402.9 | epoch: 1 | remaining: 300s    
step 00028 (0.1%) | loss: 7.6435 | action_ce: 7.6435 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 13ms | win/sec: 1264.7 | epoch: 1 | remaining: 300s    
step 00029 (0.1%) | loss: 7.6113 | action_ce: 7.6113 | waypoint: 0.0000 | lr_mult: 0.02 | dt: 11ms | win/sec: 1457.9 | epoch: 1 | remaining: 300s    
step 00030 (0.1%) | loss: 7.5847 | action_ce: 7.5847 | waypoint: 0.0000 | lr_mult: 0.03 | dt: 15ms | win/sec: 1041.9 | epoch: 1 | remaining: 300s    
step 00031 (0.1%) | loss: 7.5533 | action_ce: 7.5533 | waypoint: 0.0000 | lr_mult: 0.03 | dt: 11ms | win/sec: 1457.7 | epoch: 1 | remaining: 300s    
step 00032 (0.1%) | loss: 7.5384 | action_ce: 7.5384 | waypoint: 0.0000 | lr_mult: 0.03 | dt: 12ms | win/sec: 1341.7 | epoch: 1 | remaining: 300s    
step 00033 (0.1%) | loss: 7.5181 | action_ce: 7.5181 | waypoint: 0.0000 | lr_mult: 0.03 | dt: 9ms | win/sec: 1694.0 | epoch: 1 | remaining: 300s    
